,n_missing,pct_missing
salary_range,15012,0.8395973154362416
department,11547,0.6458053691275167
required_education,8105,0.4532997762863535
benefits,7212,0.4033557046979866
required_experience,7050,0.39429530201342283
function,6455,0.3610178970917226
industry,4903,0.27421700223713646
employment_type,3471,0.1941275167785235
company_profile,3308,0.18501118568232663
requirements,2696,0.15078299776286352
location,346,0.01935123042505593
description,1,5.592841163310962e-05
job_id,0,0.0
telecommuting,0,0.0
has_questions,0,0.0
has_company_logo,0,0.0
title,0,0.0
fraudulent,0,0.0
